#{"t_start": 1639682874.3614974, "env_id": null}
r,l,t
-5,795,98.827061
-5,699,99.562603
-5,528,100.330281
-5,533,100.989798
-5,476,101.725673
-5,812,102.972017
-5,957,104.201136
-5,619,105.069466
-5,879,106.164014
-5,557,106.77211
-4,664,107.628759
-5,642,108.482135
-5,693,109.239471
-5,608,110.052479
-5,692,110.974485
-5,786,111.976566
-4,890,113.06944
-5,429,113.715071
-5,569,114.316001
-5,389,114.87201
-5,491,115.396579
-5,565,116.143633
-5,380,116.556086
-5,436,117.01039
-5,645,117.844754
-5,620,118.672506
-5,583,119.289357
-5,694,120.179125
-4,823,121.196114
-4,771,122.17276
-5,725,122.949511
-5,978,124.159133
-5,671,125.030853
-4,732,125.973098
-5,472,126.480165
-4,659,127.183401
-5,587,127.690242
-5,619,128.221617
-5,616,128.755699
-5,487,129.169213
-5,476,129.572033
-5,580,130.061034
-5,638,130.607242
-5,448,130.983649
-5,692,131.580151
-5,838,132.293699
-4,870,133.026089
-5,989,133.927005
-5,537,134.387102
-5,703,134.978605
-4,680,135.558423
-5,520,135.99379
-5,834,136.709435
-5,848,137.559347
-5,635,138.094836
-5,720,138.715149
-5,463,139.104505
-5,556,139.578656
-5,654,140.137091
-5,656,140.695292
-5,586,141.195352
-5,691,141.789412
-5,645,142.344266
-5,720,142.955157
-4,659,143.516431
-5,655,144.069295
-5,682,144.647431
-5,675,145.234155
-5,389,145.567895
-5,589,146.062082
-5,402,146.413312
-5,520,146.854012
-5,779,147.52168
-5,645,148.064037
-5,563,148.549076
-5,730,149.165803
-5,469,149.571086
-5,575,150.058609
-5,713,150.667021
-5,588,151.170219
-4,663,151.739385
-5,502,152.16707
-5,575,152.665245
-5,802,153.341075
-5,819,154.035514
-5,597,154.541268
-5,497,154.959383
-5,573,155.452515
-5,802,156.132194
-4,699,156.730978
-5,595,157.250472
-4,787,157.916693
-5,506,158.350382
-5,777,159.017177
-5,476,159.42455
-5,479,159.82554
-4,1000,160.676008
-5,634,161.217931
-5,941,162.013134
-5,607,162.532099
-5,866,163.320447
-5,630,163.851856
-5,537,164.331926
-5,527,164.778013
-5,925,165.571179
-5,491,165.982699
-4,530,166.444436
-4,678,167.014412
-5,718,167.62666
-5,760,168.273406
-5,462,168.666329
-5,619,169.196678
-5,619,169.720106
-5,685,170.457415
-5,551,170.923958
-5,505,171.363295
-5,748,171.998579
-4,863,172.742227
-5,533,173.196047
-5,608,173.714775
-5,529,174.200801
-5,765,174.851161
-5,651,175.414661
-5,584,175.908026
-5,556,176.388665
-5,703,177.066643
-5,705,177.711481
-5,507,178.19863
-5,717,178.853774
-4,643,179.405859
-5,907,180.18973
-4,669,180.794088
-4,500,181.22776
-4,691,181.82046
-5,432,182.228869
-4,589,183.21816
-5,556,183.87027
-5,534,184.617892
-5,627,185.394781
-5,626,186.273466
-5,572,187.045808
-5,531,187.622162
-5,554,188.384637
-5,614,189.036546
-5,577,189.801764
-5,496,190.345888
-5,688,191.263251
-5,461,191.756103
-5,789,192.783933
-5,594,193.639686
-5,447,194.137457
-5,570,194.902699
-5,662,195.624818
-5,464,196.287447
-4,859,197.355249
-5,684,198.089458
-5,641,198.963953
-5,602,199.764443
-5,608,200.432647
-4,679,201.44426
-5,699,202.365479
-5,606,203.025331
-5,616,203.857003
-4,656,204.566745
-4,474,205.248831
-5,590,205.882935
-5,635,206.707758
-5,733,207.65914
-4,748,208.484602
-5,537,209.21887
-5,556,209.97668
-5,402,210.419461
-5,529,210.98445
-5,776,211.98492
-5,474,212.663304
-5,647,213.374245
-5,501,214.085316
-4,653,214.801844
-5,677,215.701215
-5,459,216.364648
-2,974,217.484426
-5,716,218.428943
-5,663,219.306206
-5,695,220.065694
-5,692,220.984107
-5,747,221.967336
-5,484,222.505832
-5,623,223.390287
-5,973,224.572943
-5,590,225.354375
-4,810,226.219765
-5,537,226.940046
-5,543,227.638847
-5,506,228.336071
-4,715,229.245353
-5,743,230.034345
-4,584,230.83295
-5,500,231.374498
-5,664,232.259227
-5,819,233.320046
-4,702,234.070994
-5,632,234.905946
-5,558,235.666324
-5,636,236.338413
-5,729,237.301364
-5,575,238.092512
-5,523,238.685178
-5,527,239.399063
-5,642,240.091454
-5,479,240.758403
-4,651,241.472975
-5,457,242.113945
-5,663,242.846213
-5,570,243.611454
-5,828,244.642652
-5,534,245.226064
-5,726,246.165334
-5,510,246.72636
-5,961,247.918007
-5,526,248.65847
-5,603,249.464625
-5,726,250.238944
-5,472,250.893736
-5,733,251.672586
-5,514,252.369274
-5,829,253.568673
-5,624,254.233409
-5,465,254.878767
-5,678,256.038781
-4,734,257.579674
-5,635,258.459908
-5,682,259.192627
-5,466,259.838707
-5,739,260.824063
-4,574,261.442153
-5,809,262.465115
-4,764,263.428654
-5,691,264.173349
-5,665,265.089562
-5,568,265.884217
-5,464,266.386663
-5,458,266.868912
-4,871,267.938331
-5,573,268.762907
-5,514,269.358619
-5,569,270.145473
-5,825,271.225053
-5,708,271.976513
-5,712,272.87651
-4,671,273.761507
-5,647,274.461335
-5,612,275.294327
-4,698,276.19077
-5,669,276.906053
-5,675,277.792287
-4,697,278.693441
-5,571,279.313404
-5,542,280.230755
-5,515,280.797706
-5,1085,282.112258
-5,720,283.089682
-5,737,284.120197
-5,420,284.688397
-5,550,285.716654
-5,662,286.692731
-5,813,287.908427
-5,531,288.718963
-5,693,289.539629
-5,660,290.416694
-5,610,291.230622
-5,619,291.906285
-5,554,292.707055
-5,854,293.785218
-4,714,294.545042
-5,655,295.416942
-4,885,296.517298
-5,589,297.135581
-5,467,297.784829
-5,490,298.30362
-5,547,299.029595
-5,506,299.575048
-4,798,300.586406
-5,760,301.55868
-5,539,302.140447
-5,730,303.121507
-4,630,303.949202
-5,589,304.577388
-5,639,305.416827
-5,500,305.948276
-5,553,306.716659
-5,436,307.188917
-5,586,307.985845
-5,875,309.088981
-5,624,309.67862
-5,597,310.187728
-5,611,310.758952
-5,498,311.178276
-5,472,311.584544
-5,440,311.983845
-5,605,312.802794
-5,385,313.125931
-5,765,313.781464
-5,423,314.134413
-5,476,314.546634
-5,654,315.095422
-5,653,315.651629
-5,773,316.310901
-3,890,317.059184
-5,1143,318.024969
-5,758,318.669123
-5,605,319.177757
-5,557,319.646719
-5,474,320.04886
-5,719,320.659314
-5,619,321.188737
-5,680,321.768344
-5,714,322.377674
-5,679,322.948421
-5,547,323.413285
-5,616,323.934444
-5,680,324.518756
-5,505,324.998729
-5,602,325.524899
-5,765,326.166514
-5,444,326.551904
-5,630,327.080196
-5,613,327.608389
-5,738,328.233222
-5,540,328.689403
-5,470,329.08935
-5,613,329.605883
-5,851,330.335736
-5,575,330.821305
-5,664,331.390003
-5,571,331.869514
-5,542,332.333813
-5,750,332.98048
-5,533,333.441788
-5,718,334.050579
-5,539,334.508902
-5,625,335.041492
-5,489,335.460145
-5,520,335.913453
-5,697,336.503885
-5,698,337.08844
-5,563,337.567984
-5,595,338.070051
-4,879,338.814275
-5,449,339.1989
-5,790,339.863323
-5,540,340.323299
-5,530,340.769416
-4,674,341.342172
-5,596,341.845102
-5,746,342.491293
-3,833,343.445791
-5,429,343.938331
-5,453,344.597466
-4,817,345.362718
-5,491,345.874194
-5,590,346.451287
-5,802,347.178828
-5,651,347.753027
-4,913,348.776273
-5,529,349.262831
-5,459,349.681976
-5,874,350.440518
-5,659,351.077403
-4,940,351.882283
-5,611,352.40918
-5,725,352.983821
-5,633,353.477439
-5,601,353.939555
-5,472,354.323381
-5,632,354.816762
-5,853,355.601708
-5,568,356.036445
-5,541,356.464552
-5,596,356.923681
-5,719,357.483163
-5,506,357.871253
-5,840,358.524206
-5,1107,359.363754
-5,565,359.786607
-4,511,360.173101
-5,714,360.719573
-5,554,361.139123
-5,768,361.729941
-4,655,362.230839
-5,553,362.656841
-5,796,363.272027
-5,664,363.997468
-5,460,364.415655
-5,616,365.123093
-5,521,365.853721
-5,654,366.778008
-5,619,367.439924
-5,643,368.298947
-4,656,368.992388
-5,833,370.053982
-5,650,370.916895
-5,775,371.908297
-5,661,372.610244
-5,543,373.331426
-5,586,373.969752
-5,431,374.593329
-5,601,375.253638
-3,737,376.208638
-5,920,377.351985
-5,576,378.108326
-5,589,378.734539
-5,605,379.540374
-5,545,380.11359
-5,479,380.776809
-4,794,381.776956
-5,573,382.446953
-5,520,383.146646
-5,670,383.883822
-5,541,384.606283
-4,1197,386.023608
-5,686,386.90932
-4,978,388.186116
-5,538,388.890077
-5,683,389.77667
-5,794,390.771379
-4,1306,392.320648
-5,710,393.073087
-5,780,394.045824
-5,767,395.015781
-5,747,395.962547
-5,784,396.957868
-5,616,397.708549
-5,830,398.757893
-5,655,399.602972
-5,716,400.389956
-5,496,401.061506
-5,680,401.781899
-5,451,402.423915
-4,694,403.323739
-5,498,403.899549
-5,888,405.23642
-5,713,406.20044
-5,596,406.841468
-5,591,407.647128
-4,703,408.414536
-5,741,409.356263
-5,584,410.12235
-5,517,410.673293
-5,784,411.669411
-5,522,412.222561
-5,551,412.966626
-5,498,413.655053
-5,667,414.370286
-5,621,415.184357
-5,674,415.93803
-5,740,417.015334
-5,668,417.933877
-5,476,418.473496
-5,900,419.888319
-4,610,420.868854
-5,488,421.633115
-4,550,422.669417
-5,658,423.587835
-5,509,424.500988
-5,534,425.093735
-4,762,426.099017
-5,825,427.17747
-5,928,428.3722
-5,744,429.326178
-5,574,429.950899
-5,613,430.780618
-5,558,431.395173
-5,510,432.095593
-5,583,432.742906
-5,640,433.576551
-5,869,434.673428
-5,476,435.17486
-5,553,435.911825
-5,727,436.847518
-5,561,437.61707
-5,672,438.832363
-5,595,439.476403
-5,422,440.102509
-4,678,440.828711
-5,679,441.656155
-5,525,442.319876
-5,893,443.206187
-5,677,444.031064
-4,665,444.844264
-5,798,445.779923
-5,467,446.259365
-3,856,447.285278
-4,506,447.795532
-4,668,448.626399
-5,669,449.42953
-5,482,449.913696
-4,608,450.660879
-5,507,451.168717
-5,838,452.159229
-5,484,452.789392
-5,859,453.65222
-5,806,454.620819
-5,444,455.203624
-5,568,455.773619
-5,987,456.901903
-5,575,457.61756
-5,387,458.000775
-5,610,458.771385
-5,482,459.249253
-4,599,460.007041
-5,544,460.552487
-5,567,461.268862
-5,550,461.821695
-5,634,462.631018
-4,547,463.217284
-5,592,464.146775
-5,598,464.893111
-5,633,465.531121
-5,719,466.43254
-5,882,467.491475
-5,645,468.137766
-4,784,469.083824
-5,616,469.855772
-5,705,470.567568
-5,500,471.213512
-5,822,472.192241
-5,762,473.093972
-5,871,473.959737
-5,768,474.874856
-4,639,475.657599
-5,544,476.198727
-5,747,477.110338
-5,615,477.940939
-4,874,478.828656
-5,627,479.589081
-5,491,480.211344
-5,541,480.750745
-5,652,481.554669
-5,805,482.34982
-5,480,483.070381
-5,441,483.548741
-5,621,484.313369
-5,609,485.06338
-5,564,485.670265
-5,723,486.531629
-5,411,486.926086
-5,678,487.671966
-5,653,488.189888
-5,715,488.757932
-5,836,489.42366
-5,730,489.990869
-5,617,490.475948
-5,492,490.854908
-5,591,491.320672
-5,639,491.818952
-5,487,492.208284
-5,453,492.593077
-5,614,493.121784
-5,500,493.530837
-5,683,494.092333
-5,606,494.588136
-5,484,494.980299
-5,754,495.612352
-5,663,496.204813
-5,674,496.775308
-5,516,497.204628
-5,571,497.721462
-5,483,498.181069
-5,865,498.938457
-5,426,499.283976
-4,652,499.807171
-5,863,500.525798
-5,601,501.073419
-5,610,501.619052
-4,618,502.138756
-5,536,502.587866
-5,552,503.041778
-5,739,503.669882
-4,621,504.162568
-5,543,504.603225
-5,437,504.955125
-5,580,505.440149
-5,818,506.091667
-5,480,506.499017
-5,517,506.923466
-5,408,507.266608
-5,411,507.616622
-5,536,508.063158
-5,775,508.744138
-5,530,509.242942
-5,692,509.871037
-5,598,510.400026
-5,587,510.912409
-5,699,511.555318
-5,461,511.961252
-5,691,512.53321
-5,499,512.944581
-5,682,513.501203
-5,684,514.078249
-5,561,514.566879
-5,848,515.275075
-5,594,515.753389
-4,784,516.388679
-5,988,517.224815
-5,946,517.988218
-5,672,518.538364
-5,636,519.063225
-5,605,519.561677
-5,633,520.086983
-5,699,520.657783
-4,709,521.226983
-5,490,521.643898
-5,420,521.980605
-5,515,522.399013
-4,766,523.013124
-5,793,523.655373
-5,605,524.145082
-5,775,524.762532
-5,786,525.41236
-5,647,525.92497
-4,891,526.641502
-5,663,527.1865
-5,591,527.693053
-4,907,528.430214
-5,665,528.985689
-5,739,529.619913
-5,734,530.234175
-5,623,530.789115
-3,924,531.559368
-5,483,531.945567
-5,429,532.296693
-5,867,532.984448
-5,585,533.4736
-5,572,533.969353
-4,672,534.530661
-5,735,535.144687
-5,653,535.676952
-5,716,536.248184
-5,719,536.884062
-5,636,537.480245
-5,486,537.889188
-5,876,538.606885
-5,760,539.231154
-5,681,539.779673
-5,552,540.2116
-5,600,540.675813
-4,719,541.53415
-5,865,542.603086
-5,703,543.463903
-5,518,543.970081
-5,659,544.772304
-5,551,545.336787
-5,776,546.23458
-5,706,547.095515
-5,553,547.64884
-5,453,548.249305
-5,601,548.840642
-5,762,549.731711
-5,1000,550.844058
-5,481,551.477121
-5,589,552.048817
-5,666,552.863563
-5,1009,554.003361
-5,400,554.395091
-5,609,555.13521
-5,529,555.660806
-5,532,556.330961
-5,648,556.962283
-5,594,557.740137
-5,536,558.412541
-4,715,559.114869
-5,613,559.855196
-5,905,560.873617
-4,737,561.754901
-5,596,562.729478
-4,749,563.744916
-5,579,564.311694
-5,558,564.986461
-5,817,565.91179
-5,569,566.468007
-5,478,567.067844
-5,804,567.853726
-5,419,568.402236
-5,572,568.949534
-5,556,569.632434
-5,679,570.431941
-5,543,570.956867
-5,748,571.829597
-4,771,572.719075
-5,689,573.39475
-5,754,574.265506
-5,715,575.094019
-5,588,575.671255
-5,509,576.310136
-5,663,577.085875
-5,711,577.773334
-5,491,578.395674
-5,857,579.366549
-5,512,579.867213
-5,986,580.957932
-5,674,581.752962
-5,890,582.758269
-5,597,583.332765
-3,649,584.090963
-5,641,584.709685
-5,437,585.271309
-5,470,585.721407
-5,527,586.376591
-5,481,586.833508
-5,539,587.493235
-5,629,588.094451
-5,511,588.735238
-5,629,589.34991
-5,495,589.994338
-5,619,590.729086
-5,428,591.152438
-4,538,591.838902
-4,655,592.475434
-5,471,593.075961
-5,508,593.576357
-4,1099,594.776232
-5,505,595.402471
-5,505,595.907137
-5,650,596.676636
-4,740,597.539428
-5,695,598.22197
-5,549,598.905425
-5,593,599.493944
-5,531,600.204425
-5,712,601.025117
-5,600,601.615031
-5,467,602.229351
-5,567,602.812195
-5,545,603.510522
-5,976,604.601318
-5,567,605.145605
-5,519,605.799183
-5,583,606.368378
-5,484,606.985135
-5,746,607.757958
-5,810,608.732934
-4,884,609.711436
-4,715,610.541219
-5,644,611.155594
-5,647,611.921044
-5,494,612.553209
-5,819,613.346756
-5,464,613.94723
-5,525,614.457153
-5,713,615.300297
-5,624,616.040822
-5,511,616.542463
-5,692,617.349405
-5,526,617.84698
-5,773,618.735248
-5,629,619.519372
-5,547,620.056786
-5,527,620.720712
-5,750,621.46044
-4,750,622.344345
-5,657,623.132226
-5,472,623.592515
-5,439,624.167177
-5,628,624.787332
-4,623,625.556907
-5,730,626.412014
-5,639,627.018965
-5,732,627.874536
-5,687,628.694311
-5,572,629.254388
-5,508,629.877417
-5,442,630.308045
-4,756,631.179672
-5,431,631.595568
-5,531,632.251155
-5,556,632.782183
-5,461,633.367023
-5,499,633.835634
-5,560,634.533766
-5,586,635.084847
-5,629,635.829741
-5,503,636.449709
-5,612,637.020765
-5,576,637.710964
-5,987,638.787755
-5,482,639.25169
-5,598,639.960188
-5,575,640.50803
-5,393,641.054141
-5,593,641.657445
-5,835,642.713418
-5,714,643.698154
-5,475,644.270616
-5,737,645.172358
-5,745,646.198734
-5,588,646.889458
-5,563,647.687889
-4,793,648.837301
-5,681,649.605
-4,759,650.609623
-5,487,651.380935
-5,475,652.074615
-5,669,653.00164
-5,812,654.025148
-5,698,657.350799
-4,765,658.560335
-5,450,659.065056
-4,536,659.727891
-5,657,660.2859
-4,578,660.726024
-4,740,661.323749
-5,488,661.773432
-5,584,662.32681
-5,502,662.814221
-5,674,663.416144
-5,647,663.955028
-5,859,664.840313
-5,589,665.46623
-5,496,666.026541
-5,1051,667.06056
-5,522,667.925077
-4,596,668.647317
-5,401,669.038604
-5,597,669.577759
-5,571,670.070807
-5,517,670.538787
-5,705,671.13552
-5,591,671.624659
-5,604,672.116637
-4,1009,673.229463
-5,455,673.716626
-5,590,674.365777
-5,565,674.922955
-5,475,675.451742
-4,656,676.164607
-5,784,676.945964
-5,569,677.464066
-4,907,678.339242
-5,495,678.88333
-5,669,679.630008
-4,649,680.257215
-5,583,680.896678
-5,513,681.382171
-4,920,682.784747
-5,779,683.418457
-5,638,683.955333
-5,499,684.342036
-5,634,684.817968
-5,465,685.164568
-5,474,685.529767
-5,603,685.981769
-5,648,686.47803
-5,723,687.023383
-5,582,687.47362
-4,897,688.159631
-5,509,688.553065
-5,470,688.914726
-4,669,689.429412
-5,421,689.749417
-5,479,690.117162
-5,442,690.472429
-4,668,690.990421
-5,686,691.524678
-4,620,692.004261
-5,410,692.332239
-5,715,692.882418
-5,445,693.229808
-5,748,693.881498
-5,490,694.517832
-5,709,695.141063
-5,479,696.474642
-5,585,697.46415
-5,559,698.678569
-5,688,699.899342
-5,585,700.461382
-5,438,700.832199
-5,653,701.64604
-5,596,702.249053
-3,800,703.441867
-5,712,704.646979
-5,448,705.394076
-5,563,705.939561
-5,674,706.627622
-5,750,707.487592
-5,616,708.386292
-5,445,708.899968
-4,752,709.60208
-5,749,710.280755
-5,549,710.739351
-5,688,711.369347
-5,709,712.056843
-4,787,712.769579
-5,497,713.282378
-5,618,713.749343
-4,841,714.411665
-5,584,714.873352
-5,611,715.362826
-4,787,715.980307
-5,609,716.68951
-5,570,717.318068
-3,697,718.027173
-4,881,718.82213
-5,702,719.41732
-5,439,719.880686
-5,634,720.454901
-5,656,721.299241
-5,648,721.927157
-5,506,722.582635
-5,525,723.095237
-5,633,723.852754
-5,849,724.810863
-5,618,725.401099
-5,567,726.084425
-5,771,726.966036
-5,592,727.549227
-4,1014,728.668695
-5,490,729.298333
-5,543,729.826965
-5,527,730.488663
-5,520,730.979344
-5,687,731.796925
-5,885,732.855507
-4,559,733.532681
-5,478,734.367314
-5,649,735.368857
-5,848,736.287793
-5,771,737.542588
-5,539,739.037063
-5,478,739.922235
-5,513,741.086539
-5,726,741.97034
-5,487,742.954237
-5,636,743.683498
-5,622,744.600483
-5,427,745.355321
-5,515,746.226342
-5,910,747.426335
-5,702,748.331907
-5,671,749.045125
-5,629,749.877479
-5,608,750.492872
-5,644,751.330404
-4,844,752.478212
-3,856,753.888938
-5,684,754.797846
-5,468,755.712714
-5,724,756.880713
-5,669,757.788255
-4,769,760.175153
-5,748,762.180199
-5,461,763.104101
-5,415,763.866626
-5,414,764.636074
-5,499,765.346346
-5,504,766.554071
-5,1131,768.22923
-5,650,769.666549
-5,447,770.681997
-5,491,772.746626
-4,952,774.776683
-5,1141,777.770068
-5,462,778.566564
-4,705,779.801787
-5,523,780.653963
-5,918,781.989236
-5,721,783.042707
-5,800,784.30855
-5,642,785.072323
-5,599,785.916359
-5,647,786.942809
-5,882,788.175915
-5,708,789.170403
-5,570,790.116097
-5,990,791.728653
-5,625,792.709461
-5,541,793.675296
-5,416,794.192035
-5,586,795.143971
-5,588,795.826995
-4,805,796.958455
-5,693,797.95641
-5,472,798.55362
-5,624,799.518869
-5,560,800.1398
-5,1183,801.651869
-5,771,802.692111
-5,480,803.41745
-5,446,803.908983
-5,668,804.806313
-5,469,805.335768
-4,674,806.263165
-5,413,806.728041
-5,693,807.684785
-5,798,808.731273
-5,737,809.55492
-5,572,810.348513
-5,612,811.170129
-5,637,811.880369
-5,568,812.66226
-5,722,813.595697
-5,580,814.24737
-5,531,814.969742
-5,726,815.756547
-5,435,816.391958
-5,641,817.068613
-5,695,817.97839
-5,448,818.471674
-4,706,819.38928
-5,522,820.118097
-4,760,820.966223
-5,643,821.833476
-5,735,822.810666
-5,555,823.421078
-5,774,824.435638
-4,756,825.427957
-5,630,826.114239
-4,588,826.909468
-5,471,827.432488
-5,586,828.218989
-5,598,829.061224
-5,508,829.616065
-5,628,830.469182
-5,675,831.234771
-5,732,832.193732
-5,924,833.363074
-5,840,834.453292
-4,790,835.4556
-5,464,835.964676
-5,631,836.81321
-5,575,837.447111
-4,551,838.232149
-5,430,838.815476
-5,551,839.575512
-5,383,840.030076
-5,447,840.783086
-4,588,841.482368
-4,593,842.323435
-5,490,842.976526
-5,722,843.960147
-5,451,844.553053
-5,538,845.565869
-5,664,846.45621
-5,723,847.411813
-5,498,848.075907
-5,479,848.674551
-5,584,849.59614
-5,403,850.133715
-5,661,851.109441
-5,623,851.949266
-5,573,852.949471
-5,503,853.502473
-5,467,854.089309
-4,571,854.641601
-5,674,855.457829
-5,628,856.219651
-5,595,856.806648
-5,460,857.408767
-5,534,857.934047
-5,482,858.553644
-5,438,859.048518
-5,458,859.633061
-5,450,860.072854
-5,538,860.781113
-5,586,861.395748
-5,704,863.172812
-5,646,863.852576
-5,630,864.430829
-5,478,864.856697
-5,552,865.343131
-5,638,866.063776
-4,530,866.550322
-5,534,866.970185
-5,500,867.389992
-5,504,867.785588
-5,484,868.177066
-5,618,868.673531
-5,493,869.095968
-5,478,869.699009
-5,546,870.358333
-5,603,870.885766
-5,567,871.338062
-5,412,871.676486
-5,568,872.111674
-5,446,872.467031
-5,519,872.878111
-5,445,873.230393
-5,573,873.685164
-5,398,873.99958
-5,626,874.493001
-5,548,874.918125
-5,538,875.340896
-5,527,875.770787
-5,643,876.274525
-5,483,876.649787
-5,617,877.125367
-5,808,877.764239
-5,626,878.262748
-5,414,878.577726
-4,726,879.1401
-4,581,879.596941
-4,636,880.092487
-5,564,880.534583
-5,653,881.033811
-5,543,881.458529
-5,457,881.807468
-5,460,882.161582
-5,459,882.525673
-3,873,883.197204
-5,560,883.629286
-5,447,883.973626
-5,573,884.427643
-5,503,884.814528
-5,577,885.265785
-5,442,885.623117
-5,539,886.094237
-4,739,886.756332
-5,559,887.41602
-5,459,887.938366
-5,474,888.364445
-5,691,889.161843
-5,492,889.675433
-4,637,890.197891
-5,573,890.67902
-5,398,891.000566
-5,538,891.433948
-5,609,891.912551
-5,411,892.238261
-5,563,892.67695
-5,638,893.171736
-5,531,893.594386
-5,562,894.03765
-5,438,894.388467
-5,504,894.785723
-5,573,895.240147
-5,429,895.58529
-3,768,896.189011
-4,555,896.631011
-5,454,896.992128
-5,492,897.388924
-5,534,897.817903
-5,605,898.305475
-5,586,898.764913
-4,636,899.264968
-4,614,899.743099
-5,477,900.113507
-5,500,900.510649
-5,448,900.857618
-5,659,901.398469
-4,773,902.01372
-5,638,902.549507
-5,811,903.1877
-5,603,903.69382
-5,468,904.054692
-5,536,904.481637
-5,617,904.962685
-5,519,905.389412
-5,508,905.788224
-5,626,906.338364
-5,474,906.707048
-5,521,907.119418
-5,482,907.505715
-5,494,907.895303
-5,594,908.373927
-5,679,908.905568
-5,494,909.400087
-5,509,910.053849
-5,515,910.568683
-5,706,911.412658
-4,583,912.129071
-5,584,912.730254
-5,588,913.461846
-5,570,914.019511
-5,435,914.590886
-5,506,915.092789
-5,615,915.84342
-5,521,916.366727
-5,469,916.984941
-5,511,917.488242
-5,524,918.155303
-3,964,919.273506
-5,517,919.779939
-5,553,920.489515
-5,628,921.206706
-4,960,922.423462
-5,736,923.462848
-5,520,924.074205
-5,516,924.896798
-5,578,925.743715
-5,469,926.339195
-5,671,927.292211
-5,605,927.954795
-5,556,928.738614
-5,576,929.346165
-5,597,930.188764
-5,522,930.81786
-5,548,931.857972
-5,562,932.888132
-4,607,933.656179
-5,585,934.91857
-4,660,936.297539
-5,527,937.188248
-5,918,938.48784
-5,655,939.281141
-5,743,940.297667
-5,458,941.055309
-5,505,941.787993
-5,544,942.768499
-5,521,943.432279
-5,598,944.195233
-5,712,945.050692
-5,693,945.917661
-5,663,946.77522
-5,928,947.882738
-5,1174,949.29561
-5,580,949.932318
-5,523,950.630604
-5,470,951.094473
-5,508,951.741808
-5,691,952.430255
-5,632,953.249653
-5,741,954.125456
-5,682,954.791207
-5,630,955.598837
-5,576,956.373232
-5,760,957.181567
-5,768,958.246094
-5,581,959.205436
-5,495,959.692796
-5,632,960.576171
-5,793,961.577838
-5,608,962.455806
-5,515,963.385117
-4,570,964.002596
-4,1000,965.47143
-5,629,966.388632
-5,726,967.437993
-5,784,968.897531
-5,758,970.089743
-4,705,971.030969
-5,949,972.334681
-5,471,972.905573
-5,446,973.643666
-5,436,974.151265
-5,700,975.02539
-5,832,975.881912
-5,649,976.754913
-5,563,977.52212
-5,452,977.998981
-5,587,978.77028
-5,581,979.374585
-5,639,980.269582
-5,644,981.093725
-5,692,982.142857
-5,730,983.223261
-5,537,983.920664
-5,700,984.82583
-5,506,985.495009
-5,442,985.953957
-5,597,986.72133
-5,575,987.295348
-4,477,987.921753
-5,602,988.523745
-5,440,989.09864
-5,545,989.656965
