#{"t_start": 1639682874.3614974, "env_id": null}
r,l,t
-5,588,0.787315
-5,567,1.776769
-5,432,2.47275
-5,420,2.963202
-5,592,3.891316
-5,570,4.736901
-5,398,5.321455
-5,548,6.697567
-5,482,7.649279
-5,595,10.132243
-5,457,10.904031
-5,529,11.791688
-5,467,12.347885
-5,526,13.760161
-5,545,14.38977
-4,627,15.202796
-4,583,15.898569
-5,561,16.680241
-5,548,17.226861
-5,638,18.090001
-5,553,18.640491
-5,672,19.560661
-3,978,20.859732
-5,707,22.048556
-5,445,22.494974
-4,771,23.412105
-5,530,23.940809
-5,407,24.462147
-4,794,25.360021
-5,592,25.922114
-5,513,26.577593
-5,495,27.046052
-5,511,27.68085
-5,405,28.068117
-5,628,28.82047
-5,624,29.429929
-5,406,30.013265
-5,781,30.804249
-5,649,31.618018
-5,447,32.196928
-5,618,32.82518
-5,548,33.511673
-5,572,34.05598
-4,811,34.992454
-5,646,35.760385
-5,630,36.372828
-5,448,36.938733
-5,591,37.514259
-5,423,38.075985
-5,604,38.66333
-5,724,39.506583
-4,864,40.482459
-5,677,41.269975
-5,779,42.007783
-5,645,42.784263
-5,501,43.285578
-5,597,44.017815
-5,592,44.766417
-5,576,45.3503
-5,555,46.011243
-5,539,46.539763
-5,653,47.323818
-5,675,48.051924
-5,514,48.721171
-4,725,49.612394
-5,671,50.295492
-5,492,50.934826
-5,617,51.555861
-5,602,52.340173
-5,590,53.099778
-5,479,53.587165
-5,691,54.387867
-5,535,54.913572
-5,749,55.871385
-5,721,56.71599
-5,424,57.108391
-5,576,57.80433
-4,933,58.836111
-5,802,59.606584
-5,646,60.364971
-5,638,61.121527
-5,765,61.862473
-5,534,62.521531
-4,888,63.51848
-5,535,64.028688
-5,481,64.627489
-5,727,65.325732
-5,591,66.021641
-5,515,66.704
-5,682,67.398655
-5,629,68.195916
-5,544,68.760522
-5,481,69.420225
-5,584,70.036216
-5,841,71.084692
-5,495,71.764555
-5,591,72.384833
-5,546,73.182416
-5,609,73.893016
-5,502,74.75073
-5,588,75.57996
-5,626,76.597177
-5,654,77.432783
-5,435,77.850245
-5,514,78.478186
-5,441,78.897571
-5,1201,80.174201
-5,395,80.685332
-4,514,81.170557
-4,684,81.969274
-5,538,82.487464
-5,688,83.292892
-5,424,83.692139
-5,669,84.497552
-5,614,85.305396
-5,466,85.840407
-5,684,86.960037
-5,728,88.350757
-5,796,89.878189
-5,630,90.649543
-5,427,91.045786
-5,541,91.789454
-5,549,92.453346
-5,496,93.085468
-5,1032,94.289717
-4,704,96.032986
-5,500,96.639274
-5,735,97.752858
