rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/explained_variance,eval/mean_ep_length,eval/mean_reward
579.0,1,866,1024,-5.0,1,,,,,,,,,,,,
505.5,2,814,2048,-5.0,2,0.0,0.02681167796254158,0.2,0.08184156268835067,-2.079296898841858,-0.0015392385656014084,10,0.00029999969279999994,0.00037348166,-0.9776574373245239,,
534.4,3,807,3072,-5.0,3,0.0,0.014482828788459301,0.2,0.050665893405675885,-2.0788015365600585,-0.0013661956880241632,20,0.00029999938559999997,0.00028158288,0.33181458711624146,,
545.0,4,824,4096,-4.857142857142857,4,0.0,0.014410801231861115,0.2,0.04193946868181229,-2.0781139135360718,-0.0011766781797632575,30,0.00029999907839999994,0.00024548458,0.19758176803588867,,
552.3333333333334,6,810,5120,-4.888888888888889,5,0.0,0.01965455524623394,0.2,0.04625733159482479,-2.077094888687134,-0.0007769375341013073,40,0.00029999877119999996,0.00031939778,0.5429661273956299,,
549.4,7,805,6144,-4.9,6,0.0,0.016979284584522247,0.2,0.04393858388066292,-2.0767445087432863,-0.0015677044400945305,50,0.000299998464,0.00045214564,0.4936487674713135,,
585.5,8,802,7168,-4.833333333333333,7,0.0,0.014925755560398102,0.2,0.036599448323249816,-2.0767029523849487,-0.0005419721128419042,60,0.00029999815679999996,0.00023893989,0.5870026350021362,,
583.8461538461538,10,802,8192,-4.846153846153846,8,0.0,0.015385176055133343,0.2,0.03854190707206726,-2.0762004137039183,-0.0011043194914236664,70,0.0002999978496,0.00033396768,0.6318205296993256,,
589.4,11,804,9216,-4.733333333333333,9,0.0,0.013109888881444931,0.2,0.03174191564321518,-2.074261116981506,-0.000639650400262326,80,0.00029999754239999995,0.0002879767,0.6977104544639587,,
589.5294117647059,12,800,10240,-4.647058823529412,10,0.0,0.021142520010471344,0.2,0.04898172430694103,-2.0703992366790773,-0.0006650538416579366,90,0.0002999972352,0.00033607194,0.581939309835434,,
593.6111111111111,14,791,11264,-4.611111111111111,11,0.0,0.018029067665338516,0.2,0.04246391765773296,-2.06961510181427,-0.0010314831510186196,100,0.00029999692799999994,0.0002558293,0.7151167690753937,,
589.4,15,788,12288,-4.65,12,0.0,0.012690721079707146,0.2,0.032124008424580096,-2.068690848350525,-0.001087626744993031,110,0.00029999662079999997,0.00034623896,0.7406327426433563,,
604.2272727272727,16,783,13312,-4.681818181818182,13,0.0,0.01344315055757761,0.2,0.032312982529401776,-2.0675359964370728,-0.0008589163306169211,120,0.0002999963136,0.0002941888,0.7404323518276215,,
608.304347826087,18,780,14336,-4.695652173913044,14,0.0,0.006845524534583092,0.2,0.0193530797958374,-2.067903828620911,-0.0008454673457890749,130,0.00029999600639999996,0.00035507284,0.7450758814811707,,
603.08,19,779,15360,-4.72,15,0.0,0.00826358050107956,0.2,0.021693582832813262,-2.063079857826233,-0.0008627305738627911,140,0.0002999956992,0.00039813202,0.8054296523332596,,
599.2222222222222,21,776,16384,-4.703703703703703,16,0.0,0.01697508990764618,0.2,0.04309005029499531,-2.0567850351333616,-0.0010548708960413933,150,0.00029999539199999995,0.00022088143,0.6582649648189545,,
596.8214285714286,22,773,17408,-4.678571428571429,17,0.0,0.00787055492401123,0.2,0.024419180117547512,-2.055682730674744,-0.0010005625896155833,160,0.0002999950848,0.00039559847,0.7382380962371826,,
601.9333333333333,23,771,18432,-4.666666666666667,18,0.0,0.015189336612820625,0.2,0.03903479054570198,-2.0458411693573,-0.001063603674992919,170,0.00029999477759999995,0.00050088053,0.6875882148742676,,
598.03125,25,775,19456,-4.6875,19,0.0,0.010061806067824364,0.2,0.027567140012979507,-2.038958120346069,-0.001192097063176334,180,0.00029999447039999997,0.00056073035,0.7397729754447937,,
602.0294117647059,26,778,20480,-4.705882352941177,20,0.0,0.007686891593039036,0.2,0.021325183659791948,-2.034675145149231,-0.0008643583161756397,190,0.0002999941632,0.00038934243,0.814062163233757,,
605.6571428571428,27,776,21504,-4.714285714285714,21,0.0,0.01617944985628128,0.2,0.03840873129665852,-2.0373480319976807,-0.0007927329046651721,200,0.00029999385599999997,0.0004859604,0.7027735114097595,,
598.4864864864865,28,777,22528,-4.72972972972973,22,0.0,0.007518442813307047,0.2,0.024721668846905232,-2.0336782217025755,-0.0015385519713163377,210,0.0002999935488,0.0007781095,0.769978865981102,,
594.1794871794872,30,776,23552,-4.743589743589744,23,0.0,0.010418841615319252,0.2,0.024843778274953366,-2.0327514171600343,-0.0005749373231083155,220,0.00029999324159999996,0.0005329617,0.770049586892128,,
591.1463414634146,31,774,24576,-4.7560975609756095,24,0.0,0.006878741551190615,0.2,0.023610207438468932,-2.035035514831543,-0.0017682315781712532,230,0.0002999929344,0.00097551465,0.7283194065093994,,
592.6428571428571,32,777,25600,-4.761904761904762,25,0.0,0.007361175492405891,0.2,0.025053862296044827,-2.0382872819900513,-0.0021323764231055975,240,0.00029999262719999995,0.001648146,0.7208413481712341,,
598.1818181818181,34,780,26624,-4.7272727272727275,26,0.0,0.009959372691810131,0.2,0.02856311611831188,-2.0451679706573485,-0.0011682944372296334,250,0.00029999232,0.00060964836,0.7010291516780853,,
593.0652173913044,35,781,27648,-4.739130434782608,27,0.0,0.007394169457256794,0.2,0.01938016675412655,-2.0446341037750244,-0.0006959316553547979,260,0.0002999920128,0.00027319876,0.8390465676784515,,
