rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/n_updates,train/loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
582.0,1,854,1,1024,-5.0,,,,,,,,,,,,
619.6666666666666,2,787,2,2048,-5.0,0.04077625274658203,-2.079422450065613,9.99998976e-05,-0.00031889271922409536,0.0,2.5957823e-05,0.08481229171156883,10,0.03755762428045273,0.2,,
566.2,3,772,3,3072,-5.0,0.10125809907913208,-2.0793755531311033,9.999979520000001e-05,-0.0002588911214843392,0.0,2.4438486e-05,0.0824323333799839,20,0.0374179407954216,0.2,,
547.5714285714286,4,764,5,4096,-5.0,0.15016859769821167,-2.0793297290802,9.99996928e-05,-0.0002238987828604877,0.0,2.0202482e-05,0.0678070567548275,30,0.03057953715324402,0.2,,
544.2222222222222,5,757,6,5120,-5.0,0.4299439787864685,-2.0792277097702025,9.999959040000001e-05,-0.0006862519891001284,0.0,4.2152416e-05,0.05076851062476635,40,0.021775836125016212,0.2,,
558.0,6,737,8,6144,-5.0,0.3164430856704712,-2.0791259765625,9.9999488e-05,-0.0001287369290366769,0.0,2.5164569e-05,0.056046603992581365,50,0.025871790945529938,0.2,,
550.7692307692307,7,615,11,7168,-5.0,0.5244104564189911,-2.0790509223937987,9.999938560000001e-05,-0.00025108465924859045,0.0,1.6959966e-05,0.042763106897473334,60,0.01970762386918068,0.2,,
544.3333333333334,8,617,13,8192,-5.0,0.3250845670700073,-2.078816556930542,9.99992832e-05,-0.00020941793918609618,0.0,1.4000107e-05,0.04854346215724945,70,0.02239806205034256,0.2,,
547.75,9,628,14,9216,-4.9375,0.563199371099472,-2.0787760972976685,9.99991808e-05,-0.00023400713689625263,0.0,1.5753962e-05,0.0462154682725668,80,0.021424058824777603,0.2,,
550.3888888888889,10,643,15,10240,-4.888888888888889,0.6020187139511108,-2.0787022352218627,9.99990784e-05,-0.00021999918390065433,0.0,1.2707722e-05,0.060067668184638025,90,0.028336839750409126,0.2,,
557.1,11,652,17,11264,-4.9,0.5333454310894012,-2.0785181283950807,9.9998976e-05,-8.649769006296992e-05,0.0,1.0408927e-05,0.04081341363489628,100,0.01970156840980053,0.2,,
558.0909090909091,12,639,19,12288,-4.909090909090909,0.7507128864526749,-2.078582239151001,9.999887360000001e-05,-0.00042108258930966257,0.0,1.576601e-05,0.020928298681974412,110,0.009012091904878616,0.2,,
564.3478260869565,13,644,20,13312,-4.826086956521739,0.39503127336502075,-2.0785328149795532,9.99987712e-05,-0.00043230019509792327,0.0,3.96698e-05,0.04821292720735073,120,0.0225398950278759,0.2,,
560.56,14,654,21,14336,-4.84,0.6156878173351288,-2.0787957429885866,9.99986688e-05,-0.0001334789558313787,0.0,1.3957615e-05,0.05002777613699436,130,0.02392539754509926,0.2,,
573.3076923076923,15,662,23,15360,-4.8076923076923075,0.6476806104183197,-2.0786022901535035,9.999856640000001e-05,-0.0002220872323960066,0.0,1.8619932e-05,0.03463575579226017,140,0.01609102077782154,0.2,,
566.25,16,673,24,16384,-4.821428571428571,0.5208328068256378,-2.07865252494812,9.9998464e-05,-0.00026834597811102866,0.0,2.3512519e-05,0.05667516328394413,150,0.026287274435162544,0.2,,
572.8,17,683,25,17408,-4.8,0.6865192353725433,-2.0781225204467773,9.99983616e-05,-0.00026805417146533725,0.0,2.798537e-05,0.04024051614105702,160,0.019034791737794876,0.2,,
568.375,18,693,26,18432,-4.8125,0.6674863398075104,-2.077997326850891,9.99982592e-05,-0.00022483528591692447,0.0,2.602971e-05,0.03580816499888897,170,0.016870036721229553,0.2,,
567.1764705882352,19,701,27,19456,-4.823529411764706,0.70429527759552,-2.077564740180969,9.999815680000001e-05,-0.00015744830016046764,0.0,9.957934e-06,0.0319225212559104,180,0.01506207324564457,0.2,,
568.0571428571428,20,709,28,20480,-4.828571428571428,0.705772340297699,-2.0778567790985107,9.999805440000001e-05,-0.00017756144516170024,0.0,1.2590608e-05,0.03426509685814381,190,0.016238251700997353,0.2,,
564.6216216216217,21,708,30,21504,-4.837837837837838,0.7478675842285156,-2.0776241302490233,9.9997952e-05,-0.0003436145139858127,0.0,2.5116547e-05,0.030938008241355418,200,0.01417887955904007,0.2,,
572.3076923076923,22,713,31,22528,-4.846153846153846,0.7448371648788452,-2.0774267673492433,9.999784960000001e-05,-0.00021284938557073474,0.0,1.7116254e-05,0.02976946663111448,210,0.014024194329977036,0.2,,
570.9268292682926,23,715,32,23552,-4.853658536585366,0.6627098917961121,-2.0772072792053224,9.99977472e-05,-0.00025208792649209497,0.0,2.3077067e-05,0.02791853975504637,220,0.012880914844572544,0.2,,
573.1190476190476,24,709,34,24576,-4.857142857142857,0.47831422090530396,-2.0767970085144043,9.99976448e-05,-0.00043390323407948016,0.0,3.434642e-05,0.0427399430423975,230,0.019299721345305443,0.2,,
573.4090909090909,25,713,35,25600,-4.840909090909091,0.6839665770530701,-2.07656843662262,9.99975424e-05,-0.00027056622784584763,0.0,3.7803606e-05,0.03269610479474068,240,0.01526896096765995,0.2,,
