#{"t_start": 1639654336.9164536, "env_id": null}
r,l,t
-5,676,233.970886
-5,713,234.663679
-5,748,235.622596
-4,682,236.602363
-5,579,237.182895
-5,846,238.427411
-5,544,239.137788
-4,560,239.72209
-4,695,240.5676
-5,649,241.471033
-4,682,242.333961
-5,548,243.036804
-5,648,243.705925
-5,592,244.449951
-5,701,245.275951
-4,671,245.943927
-5,628,246.840842
-5,517,247.351678
-5,554,248.040757
-5,419,248.449725
-5,567,249.158213
-4,709,250.034075
-4,891,250.916091
-5,477,251.531288
-5,729,252.465826
-5,578,253.05811
-5,721,253.991701
-5,632,254.784019
-5,894,255.635206
-5,516,256.264758
-5,794,257.150297
-5,579,257.694574
-5,574,258.391667
-5,649,259.032387
-5,499,259.649306
-4,871,260.622808
-5,556,261.155536
-5,1318,262.667464
-5,542,263.217156
-5,468,263.965591
-5,723,264.750653
-4,687,265.773705
-5,672,266.801324
-5,775,267.832026
-5,467,268.464158
-5,672,269.10582
-4,557,269.78567
-5,602,270.511215
-4,927,271.648197
-5,713,272.357664
-5,619,273.161948
-5,644,273.881966
-5,543,274.704167
-5,458,275.153809
-4,804,276.475352
-5,521,277.454114
-5,541,278.026755
-5,609,278.836908
-5,599,279.475687
-5,696,280.772108
-5,724,282.208062
-4,638,283.183435
-5,611,284.350272
-5,594,285.165835
-4,677,285.999219
-5,629,286.88338
-5,695,287.68842
-5,841,288.483575
-5,693,289.352535
-5,521,290.045528
-5,490,290.512758
-5,556,291.206281
-5,570,291.752352
-5,782,292.650186
-5,499,293.12961
-5,949,294.256449
-5,732,295.184413
-5,693,296.212643
-5,484,296.681835
-5,638,297.537944
-5,723,298.479452
-5,624,299.093578
-5,600,299.803804
-5,510,300.298406
-5,694,301.143777
-4,680,302.031293
-5,745,302.904055
-5,650,303.673273
-5,496,304.160977
-5,614,304.888282
-5,463,305.331143
-5,497,305.975009
-5,584,306.727675
-5,611,307.563334
-5,609,308.318544
-5,581,308.871628
-5,667,309.64765
-5,549,310.192637
-5,636,310.939492
-3,1032,312.065245
-5,457,312.626752
-5,763,313.350957
-5,430,313.923182
-5,723,314.599481
-5,488,315.214288
-5,925,316.257274
-5,545,316.695291
-5,541,317.110443
-5,703,317.640068
-5,587,318.080229
-5,499,318.451145
-5,593,318.892865
-5,391,319.181577
-5,518,319.564176
-5,505,319.943924
-5,418,320.254555
-5,526,320.642425
-5,574,321.079143
-5,597,321.518456
-5,663,322.013198
-5,692,322.524542
-5,688,323.036302
-5,578,323.465704
-5,493,323.844433
-5,412,324.157033
-5,808,324.758646
-5,550,325.176601
-5,387,325.461494
-5,564,325.885197
-5,647,326.389073
-5,544,326.792856
-5,367,327.065382
-5,630,327.530192
-5,596,327.978331
-5,373,328.271483
-4,1014,329.031832
-5,958,329.758082
-5,544,330.167003
-4,661,330.75178
-5,675,331.371257
-5,608,331.842951
-5,886,332.509553
-5,584,333.103168
-5,691,333.79451
-5,514,334.187029
-5,690,334.883757
-5,598,335.437568
-4,775,336.139356
-5,631,336.742007
-5,699,337.274617
-5,649,337.76126
-5,546,338.17654
-5,758,338.741326
-5,470,339.094511
-4,605,339.562144
-5,711,340.103601
-5,628,340.56433
-5,563,340.994605
-5,711,341.732671
-4,626,342.325418
-5,449,342.715485
-5,797,343.401704
-5,550,343.8482
-5,649,344.325955
-4,732,344.873034
-5,828,345.504406
-5,592,345.943773
-3,831,346.554303
-5,470,346.907495
-5,458,347.245497
-5,592,347.680825
-5,524,348.069944
-5,719,348.600182
-5,647,349.081709
-5,499,349.447561
-5,748,350.002248
-5,545,350.405054
-5,762,351.069913
-5,820,351.729642
-5,491,352.095758
-2,1311,353.063815
-5,454,353.401476
-5,752,353.961528
-5,670,354.522235
-5,555,355.03223
-5,491,355.484342
-5,639,356.090994
-5,760,357.24425
-5,629,357.894121
-5,464,358.395623
-5,698,358.965796
-5,795,359.660942
-5,842,360.315996
-5,565,360.839041
-4,924,361.544261
-5,473,362.069473
-5,443,362.40961
-5,614,362.871034
-5,590,363.353898
-5,577,363.806987
-4,618,364.309569
-5,622,364.891472
-5,709,365.458529
-5,589,366.039066
-5,460,366.496033
-5,570,367.021934
-5,640,367.811129
-5,621,368.642077
-5,585,369.424102
-5,628,370.082775
-4,600,371.096272
-5,654,371.756971
-5,585,372.507352
-5,570,373.222228
-5,531,373.730312
-5,628,374.620061
-5,626,375.270834
-5,502,375.97426
-5,497,376.460041
-4,658,377.231738
-5,660,378.123873
-5,587,378.849563
-5,650,379.671721
-5,578,380.320481
-5,482,380.95387
-5,494,381.490053
-5,717,382.605537
-4,703,383.58775
-5,503,384.271493
-5,628,385.17957
-5,606,385.874871
-5,673,386.786999
-4,737,387.792168
-5,581,388.451408
-5,521,389.239288
-5,863,390.62346
-5,815,391.702737
-3,867,393.023234
-5,651,393.926927
-4,775,394.896934
-5,702,395.567228
-5,692,396.394819
-5,983,397.981565
-5,621,398.931826
-5,640,399.566019
