#{"t_start": 1640010177.8407829, "env_id": null}
r,l,t
-5,540,1.087127
-5,544,2.860873
-5,465,3.519407
-5,466,4.104231
-5,544,5.132021
-5,591,5.988381
-5,400,6.575699
-5,519,7.169241
-5,482,8.032936
-5,641,8.976189
-5,453,9.624937
-5,492,10.27806
-5,601,11.364843
-5,492,12.127659
-5,597,12.957918
-4,642,14.093985
-4,517,14.790672
-5,777,15.987293
-5,580,16.851112
-5,680,17.778681
-5,515,18.622144
-5,663,19.58238
-3,819,20.862949
-5,572,21.730113
-5,447,22.379947
-4,636,23.368912
-5,502,24.12138
-5,451,24.790711
-4,726,25.733291
-5,642,26.699714
-5,498,27.531759
-5,495,28.197908
-5,521,29.132332
-5,409,29.640973
-5,615,30.656763
-5,624,31.508053
-5,516,32.26384
-5,768,33.331434
-5,566,34.226677
-5,449,34.849769
-5,526,35.626642
-5,610,36.827048
-5,602,37.723131
-4,636,38.701236
-5,600,39.670862
-5,620,40.761836
-5,672,41.919675
-5,707,43.000669
-5,453,43.848786
-4,700,44.851866
-5,654,45.948628
-5,559,46.725024
-5,617,47.606136
-5,599,48.457052
-5,649,49.350429
-5,501,50.12775
-5,438,50.816386
-5,592,51.866601
-4,659,52.907139
-5,511,53.681614
-5,612,54.560385
-5,619,55.592473
-5,426,56.232141
-5,397,56.856623
-5,692,57.801583
-5,639,58.702309
-5,487,59.512658
-5,642,60.362243
-5,698,61.601044
-5,812,62.868486
-5,511,63.445463
-5,604,64.470145
-5,536,65.225417
-5,721,66.209023
-5,817,67.454269
-5,424,67.977538
-5,648,69.07163
-4,918,70.421402
-4,694,71.369212
-5,752,72.39781
-5,765,73.636506
-5,446,74.343622
-5,572,75.150332
-3,760,76.269869
-5,497,76.952519
-5,406,77.569422
-5,476,78.28547
-5,669,79.250807
-5,485,79.967634
-5,461,80.668958
-5,524,81.409487
-5,455,82.062531
-5,625,82.987597
-5,564,84.08559
-5,699,85.111499
-5,493,85.901568
-5,753,87.251604
-5,510,87.869865
-5,540,88.922571
-5,543,89.718581
-4,945,91.167445
-5,465,91.90533
-5,496,92.596719
-5,536,93.498919
-5,598,94.30884
-5,617,95.351722
-5,734,96.455587
-5,394,97.062923
-5,526,97.846245
-5,527,98.754672
-5,647,100.089097
-4,551,100.834504
-5,562,101.72578
-5,552,102.580245
-5,393,103.604843
-5,592,104.690332
-5,707,106.197686
