rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/clip_range,train/policy_gradient_loss,train/loss,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
-5.0,579.0,1024,1,1,705,,,,,,,,,,,,
-5.0,493.25,2048,2,2,715,0.2,-0.0016162738902494311,0.02744901366531849,0.0868918962776661,10,0.0005356638,0.00029999969279999994,0.0,-2.0792415618896483,0.05910521745681763,,
-5.0,511.8333333333333,3072,4,3,727,0.2,-0.0007148320320993662,0.013875179924070835,0.06394900158047676,20,0.00036584446,0.00029999938559999997,0.0,-2.0782533407211305,0.37735515832901,,
-5.0,508.75,4096,5,4,741,0.2,-0.0010010705329477787,0.011152409017086029,0.03906960021704435,30,0.0002861233,0.00029999907839999994,0.0,-2.076922392845154,0.4584730863571167,,
-5.0,505.77777777777777,5120,6,5,752,0.2,-0.0010421447223052382,0.012161101214587688,0.03320969734340906,40,0.0002811589,0.00029999877119999996,0.0,-2.0764628887176513,0.646671324968338,,
-5.0,517.0909090909091,6144,8,6,758,0.2,-0.00062950374558568,0.012501552700996399,0.029155165515840055,50,0.00024265487,0.000299998464,0.0,-2.074783754348755,0.6447741389274597,,
-5.0,513.2307692307693,7168,9,7,762,0.2,-0.0006084538530558347,0.014951793476939201,0.03503378853201866,60,0.00016880065,0.00029999815679999996,0.0,-2.0733859539031982,0.5404156744480133,,
-5.0,523.4,8192,10,8,753,0.2,-0.001065763144288212,0.013910395093262196,0.035168040171265603,70,0.00021217414,0.0002999978496,0.0,-2.0727842807769776,0.4498840570449829,,
-4.882352941176471,530.1764705882352,9216,12,9,758,0.2,-0.0008155259070917964,0.017557043582201004,0.04301965981721878,80,0.00033660926,0.00029999754239999995,0.0,-2.0728028059005736,0.4920865297317505,,
-4.894736842105263,532.7894736842105,10240,13,10,762,0.2,-0.0010179550386965274,0.012780330143868923,0.03315371759235859,90,0.00056935614,0.0002999972352,0.0,-2.072974348068237,0.607781320810318,,
-4.9,541.0,11264,14,11,765,0.2,-0.0010027094976976514,0.005861873738467693,0.02169766277074814,100,0.0006179302,0.00029999692799999994,0.0,-2.0721789360046388,0.6094713807106018,,
-4.909090909090909,544.1818181818181,12288,16,12,764,0.2,-0.00018851784989237785,0.012348785996437073,0.026620480045676232,110,0.0001590859,0.00029999662079999997,0.0,-2.071212148666382,0.742741048336029,,
-4.826086956521739,551.0434782608696,13312,17,13,761,0.2,-0.0012195085640996695,0.015124080702662468,0.03877398557960987,120,0.0003244219,0.0002999963136,0.0,-2.070934557914734,0.6055918335914612,,
-4.84,553.84,14336,18,14,759,0.2,-0.0015502071008086204,0.012056699953973293,0.032516580820083615,130,0.0006852693,0.00029999600639999996,0.0,-2.0678565740585326,0.7431831061840057,,
-4.814814814814815,558.5185185185185,15360,20,15,760,0.2,-0.0004788501188158989,0.008945302106440067,0.02296352218836546,140,0.0003219467,0.0002999956992,0.0,-2.0629642963409425,0.8236912786960602,,
-4.793103448275862,559.0689655172414,16384,21,16,761,0.2,-0.0010195208131335675,0.01708212122321129,0.04280405826866627,150,0.0003631086,0.00029999539199999995,0.0,-2.0610830307006838,0.6152269840240479,,
-4.806451612903226,557.6129032258065,17408,22,17,761,0.2,-0.0030096789821982385,0.0042135706171393394,0.02419107686728239,160,0.0014616067,0.0002999950848,0.0,-2.0538477420806887,0.7899820506572723,,
-4.818181818181818,554.3636363636364,18432,24,18,761,0.2,-0.0018663265043869614,0.0105409761890769,0.031195615790784358,170,0.0017608667,0.00029999477759999995,0.0,-2.0351220846176146,0.6981099247932434,,
-4.828571428571428,551.9714285714285,19456,25,19,763,0.2,-0.00018173353746533393,0.00894965324550867,0.021493352390825747,180,0.00021544565,0.00029999447039999997,0.0,-2.0328251361846923,0.7952182292938232,,
-4.833333333333333,561.3333333333334,20480,26,20,765,0.2,-0.0006018911954015493,0.012573624029755592,0.029870687797665597,190,0.00033084815,0.0002999941632,0.0,-2.033314251899719,0.7609727829694748,,
-4.842105263157895,561.9473684210526,21504,28,21,765,0.2,-0.0016362305730581283,0.007963694632053375,0.024902776628732682,200,0.00092525594,0.00029999385599999997,0.0,-2.0259610652923583,0.7271137535572052,,
-4.85,560.0,22528,29,22,766,0.2,-0.0006715425290167332,0.008601141162216663,0.022148411348462106,210,0.00074535183,0.0002999935488,0.0,-2.0208184480667115,0.7428602576255798,,
-4.857142857142857,558.3809523809524,23552,30,23,767,0.2,-0.0012779267970472574,0.005257843062281609,0.01750039868056774,220,0.0005941176,0.00029999324159999996,0.0,-2.0129570960998535,0.8192591965198517,,
-4.8604651162790695,558.6511627906976,24576,31,24,769,0.2,-0.0008135687094181776,0.011378525756299496,0.02783652190119028,230,0.000489172,0.0002999929344,0.0,-2.0014529705047606,0.7835866808891296,,
-4.844444444444444,563.1777777777778,25600,33,25,769,0.2,-0.0012004363117739559,0.014371287077665329,0.03832539767026901,240,0.0004558746,0.00029999262719999995,0.0,-2.020034170150757,0.6428024172782898,,
-4.851063829787234,562.0425531914893,26624,34,26,769,0.2,-0.0010977263562381267,0.007468832656741142,0.022149456106126307,250,0.0005556849,0.00029999232,0.0,-2.0208764553070067,0.7559017688035965,,
-4.857142857142857,560.530612244898,27648,36,27,765,0.2,-0.0003949966514483094,0.007807722315192223,0.01888674162328243,260,0.00030901813,0.0002999920128,0.0,-2.0229924440383913,0.8371225148439407,,
