#{"t_start": 1639611245.9746084, "env_id": null}
r,l,t
-5,579,0.859404
-5,542,1.834253
-5,432,2.330653
-5,420,2.779546
-5,543,3.608014
-5,555,4.2132
-5,458,4.923676
-5,541,5.490141
-5,482,6.21018
-5,659,7.06501
-5,477,7.613122
-5,498,8.295866
-5,486,8.874702
-5,570,9.647278
-5,609,10.493862
-4,636,11.379667
-4,526,11.940286
-5,561,12.748219
-5,549,13.312287
-5,697,14.246318
-5,470,14.890332
-5,682,15.646502
-3,702,16.800942
-5,724,17.784739
-5,448,18.355569
-4,614,19.202057
-5,620,19.896252
-5,407,20.541643
-4,726,21.320055
-5,518,22.118321
-5,555,22.727707
-5,495,23.451025
-5,513,24.054047
-5,404,24.698777
-5,621,25.33593
-5,889,26.461958
-5,385,27.048118
-5,761,27.910635
-5,599,28.76962
-5,447,29.239382
-5,524,29.999828
-5,528,30.555495
-5,570,31.364633
-4,721,32.335967
-5,600,32.994774
-5,659,33.912787
-5,414,34.352853
-5,627,35.269766
-5,423,35.902574
-5,597,36.803355
-5,1010,38.081321
-5,889,39.236926
-5,668,39.978749
-5,732,41.016988
-4,808,42.060952
-5,500,42.591912
-5,455,43.291678
-5,592,43.95504
-5,706,44.933002
-5,503,45.659783
-5,544,46.269312
-5,650,47.161074
-5,612,47.811238
-5,478,48.498941
-4,862,49.627297
-5,751,50.413922
-5,507,51.160832
-5,674,52.016446
-5,611,52.722016
-5,571,53.531602
-5,658,54.259051
-5,581,55.060914
-5,535,55.644205
-5,722,56.643706
-4,905,57.805883
-5,441,58.263091
-4,703,59.233577
-4,690,60.180499
-5,631,60.973749
-5,604,62.020871
-5,698,63.066579
-5,449,63.545299
-5,841,64.638406
-5,612,65.541692
-5,489,65.954835
-5,580,66.438943
-4,587,66.935992
-5,560,67.405909
-5,450,67.782615
-5,599,68.313771
-5,614,68.836273
-5,452,69.223024
-5,685,69.861003
-5,750,70.482723
-5,620,71.002656
-5,666,71.562306
-5,837,72.277458
-5,663,72.833519
-5,540,73.287842
-5,549,73.7462
-5,868,74.648882
-5,512,75.176821
-5,468,75.564749
-5,462,75.951423
-5,548,76.408264
-5,800,77.094514
-5,430,77.604269
-4,506,78.191228
-4,695,78.854337
-5,600,79.407454
-5,649,80.004717
-5,431,80.669389
-5,665,81.861592
-5,544,82.418582
-5,403,82.79979
-5,605,83.453515
-5,651,84.058272
-5,678,84.628952
-5,727,85.254363
-5,727,85.900511
-5,510,86.330229
-5,578,86.828143
-5,582,87.451644
-5,805,88.24012
-5,798,89.041438
-5,502,89.5164
-5,661,90.151829
-5,534,90.678675
-5,649,91.259941
-5,695,92.056
-5,498,92.477557
-4,692,93.078753
-5,747,93.820894
-5,631,94.380776
-5,747,95.015485
-5,793,95.868369
-5,497,96.300383
-5,531,96.761945
-5,554,97.232633
-5,721,97.852013
-5,580,98.336975
-5,745,98.969406
-5,754,99.59731
-5,455,99.983322
-5,493,100.396295
-5,692,100.982172
-5,504,101.402491
-5,493,101.820466
-5,555,102.283753
-5,385,102.607623
-5,460,102.9949
-5,768,103.639054
-5,520,104.136484
-5,628,104.66797
-5,733,105.286189
-5,601,105.791327
-5,734,106.402321
-5,721,107.016578
-5,664,107.578234
-4,778,108.233735
-5,633,108.76748
-4,523,109.265158
-5,531,109.724987
-5,538,110.294559
-5,525,110.841152
-5,449,111.216238
-5,627,111.75227
-5,544,112.267563
-5,530,112.717518
-4,601,113.220368
-5,575,113.703858
-5,446,114.088678
-5,655,114.632569
-5,787,115.310165
-5,675,115.879126
-5,750,116.504827
-5,435,116.881807
-4,749,117.536119
-4,680,118.128351
-5,517,118.594349
-5,658,119.180916
-5,598,119.698006
-5,586,120.195448
-5,783,121.313526
-5,463,122.109126
-5,567,122.79881
-5,686,123.793378
-5,781,124.812479
-5,628,125.572283
-5,705,126.600747
-5,544,127.212547
-5,654,128.171326
-4,715,129.156833
-5,868,130.27646
-5,682,131.242234
-5,643,132.203784
-5,389,132.62916
-5,649,133.538775
-5,456,134.080373
-5,520,134.86512
-5,697,135.661926
-5,645,136.621656
-5,563,137.423027
-5,835,138.353587
-5,447,139.038544
-5,440,139.512884
-5,767,140.556519
-5,567,141.478789
-4,665,142.230112
-5,456,142.972407
-5,452,143.497938
