#{"t_start": 1639089809.6988065, "env_id": "SlimeVolley-v0"}
r,l,t
-5,805,483.626585
-5,484,486.023544
-4,553,486.603441
-5,574,487.209085
-5,871,490.021465
-5,719,490.760349
-5,626,491.402359
-4,866,494.484773
-5,514,495.005259
-5,472,495.51238
-4,661,496.198817
-5,748,498.859366
-4,601,499.515889
-5,621,500.160022
-5,639,502.822768
-5,480,503.317149
-5,578,503.971447
-5,684,506.575678
-5,701,507.330738
-5,721,508.083101
-5,489,508.58893
-5,600,511.159035
-5,583,511.761796
-5,439,512.216833
-5,534,514.659003
-5,648,515.324797
-5,654,516.008693
-4,897,518.81977
-5,518,519.368175
-5,388,519.770701
-5,515,520.332413
-5,915,523.912236
-5,431,524.427719
-5,679,525.197223
-5,652,527.900758
-5,608,528.540446
-5,691,529.252202
-5,658,531.920791
-5,444,532.437694
-5,779,533.259938
-5,465,533.771391
-5,489,536.17254
-5,418,536.594349
-5,428,537.035361
-5,748,537.817605
-5,393,540.133133
-5,480,540.62527
-5,1003,541.659855
-4,792,544.348561
-5,604,544.957144
-5,597,545.572949
-4,733,548.23291
-5,456,548.699076
-5,603,549.322755
-5,564,549.901819
-5,596,552.640383
-5,550,553.227269
-5,596,553.849946
-5,588,556.339012
-5,644,556.989106
-5,640,557.640934
-5,897,560.90193
-4,696,561.610365
-5,529,562.179871
-5,460,562.653458
-5,1005,565.624243
-4,711,566.359486
-5,505,568.77807
-5,579,569.369171
-5,470,569.851061
-5,577,570.460797
-5,584,573.097451
-5,528,573.64123
-5,904,574.578304
-5,465,576.970036
-5,555,577.543158
-5,744,578.315898
-5,816,581.073666
-5,585,581.883761
-5,588,582.489397
-5,543,583.155726
-5,535,585.981913
-4,534,586.529158
-5,700,587.433244
-5,704,590.46448
-5,666,591.264139
-4,780,592.12675
-4,714,594.836293
-5,791,595.651871
-5,645,596.370815
